name,price,original_price,is_on_sale,store,brand,rating,url,image_url,is_ad,sold,reviews,in_stock,sizes,colours,product_type,tags
SAMBA OG,880000,2200000,True,Seek Indonesia,Adidas,0.0,https://seekindonesia.com/products/samba-og-4,https://cdn.shopify.com/s/files/1/0600/2527/4543/files/IG1024-01.jpg?v=1757303567,False,,0,True,,,Men's,"FOOTWEAR, FOOTWEAR ADIDAS, FOOTWEAR ADIDAS MENS, FOOTWEAR MENS, HO24, LIFESTYLE, LIFESTYLE MENS, LIFESTYLE SHOES, MENS, SALE, SEEK11.11, SEEK200, SEEK8.8, SEEK9.9, SEEKSAVE100, SEEKSAVE150, SEEKSAVE250, SEEKSS10, SHOES"
SAMBA OG,1000000,2000000,True,Seek Indonesia,Adidas,0.0,https://seekindonesia.com/products/samba-og-14,https://cdn.shopify.com/s/files/1/0600/2527/4543/files/JH8797-1.jpg?v=1757303028,False,,0,True,,,Men's,"ADIDAS, FOOTWEAR, FOOTWEAR ADIDAS, FOOTWEAR ADIDAS MENS, FOOTWEAR MENS, LIFESTYLE, LIFESTYLE MENS, LIFESTYLE SHOES, MENS, SALE, SEEK10, SEEK11.11, SEEK200, SEEK8.8, SEEK9.9, SHOES, SP25"
SAMBA OG,1000000,2000000,True,Seek Indonesia,Adidas,0.0,https://seekindonesia.com/products/samba-og-16,https://cdn.shopify.com/s/files/1/0600/2527/4543/files/IH4882-1.jpg?v=1757303011,False,,0,True,,,Men's,"ADIDAS, FOOTWEAR ADIDAS, FOOTWEAR ADIDAS MENS, FOOTWEAR MENS, LIFESTYLE, LIFESTYLE MENS, LIFESTYLE SHOES, MENS, SALE, SEEK10, SEEK11.11, SEEK200, SEEK8.8, SEEK9.9, SEEKHOLIDAY12, SHOES, SP25"
SAMBA OG,1000000,2000000,True,Seek Indonesia,Adidas,0.0,https://seekindonesia.com/products/samba-og-13,https://cdn.shopify.com/s/files/1/0600/2527/4543/files/IE3439-1.jpg?v=1757303030,False,,0,True,,,Men's,"ADIDAS, FOOTWEAR, FOOTWEAR ADIDAS, FOOTWEAR ADIDAS MENS, FOOTWEAR MENS, LIFESTYLE, LIFESTYLE MENS, LIFESTYLE SHOES, MENS, SALE, SEEK10, SEEK11.11, SEEK200, SEEK8.8, SEEK9.9, SHOES, SP25"
SAMBA LT,1100000,2200000,True,Seek Indonesia,Adidas,0.0,https://seekindonesia.com/products/samba-lt-2,https://cdn.shopify.com/s/files/1/0600/2527/4543/files/JQ5125-1_17e8e21f-aab1-461c-9997-adda81f159d1.jpg?v=1757302969,False,,0,True,,,Men's,"ADIDAS, FOOTWEAR, FOOTWEAR ADIDAS, FOOTWEAR ADIDAS MENS, FOOTWEAR MENS, LIFESTYLE, LIFESTYLE MENS, LIFESTYLE SHOES, MENS, SALE, SEEK10, SEEK11.11, SEEK200, SEEK8.8, SEEK9.9, SHOES, SP25"
SAMBA OG,880000,2200000,True,Seek Indonesia,Adidas,0.0,https://seekindonesia.com/products/samba-og-5,https://cdn.shopify.com/s/files/1/0600/2527/4543/files/JI1866-01.jpg?v=1757303566,False,,0,True,,,Men's,"ADIDAS, FA24, FOOTWEAR ADIDAS, FOOTWEAR ADIDAS MENS, FOOTWEAR MENS, LIFESTYLE, LIFESTYLE MENS, LIFESTYLE SHOES, MENS, SALE, SEEK11.11, SEEK8.8, SEEK9.9, SEEKSS10"
SAMBA OG,880000,2200000,True,Seek Indonesia,Adidas,0.0,https://seekindonesia.com/products/samba-og-9,https://cdn.shopify.com/s/files/1/0600/2527/4543/files/IH4880-01.jpg?v=1757303415,False,,0,True,,,Men's,"ADIDAS, FA24, FOOTWEAR, FOOTWEAR ADIDAS, FOOTWEAR ADIDAS MENS, FOOTWEAR MENS, LIFESTYLE, LIFESTYLE MENS, LIFESTYLE SHOES, MENS, SALE, SEEK11.11, SEEK8.8, SEEK9.9, SEEKSS10, SHOES"
SAMBAE WOMENS,880000,2200000,True,Seek Indonesia,Adidas,0.0,https://seekindonesia.com/products/sambae-womens,https://cdn.shopify.com/s/files/1/0600/2527/4543/files/JH8834-01.jpg?v=1757303245,False,,0,True,,,Women's,"ADIDAS, FOOTWEAR, FOOTWEAR ADIDAS, FOOTWEAR ADIDAS WOMENS, FOOTWEAR WOMENS, HO24, LIFESTYLE, LIFESTYLE SHOES, LIFESTYLE WOMENS, SALE, SEEK10, SEEK11.11, SEEK200, SEEK8.8, SEEK9.9, SEEKSS10, SHOES, WD10, WOMENS"
SAMBA OG MENS,1000000,2000000,True,Seek Indonesia,Adidas,0.0,https://seekindonesia.com/products/samba-og-mens-1,https://cdn.shopify.com/s/files/1/0600/2527/4543/files/JI3204-1_f0fe25bb-3890-4470-a282-e4a33c1838f8.jpg?v=1757302971,False,,0,True,,,Men's,"ADIDAS, FOOTWEAR ADIDAS, FOOTWEAR ADIDAS MENS, FOOTWEAR MENS, LIFESTYLE MENS, LIFESTYLE SHOES, MENS, SALE, SEEK10, SEEK11.11, SEEK200, SEEK8.8, SEEK9.9, SEEKHOLIDAY12, SHOES, SP25"
SAMBA LT WOMENS,1100000,2200000,True,Seek Indonesia,Adidas,0.0,https://seekindonesia.com/products/samba-lt-w,https://cdn.shopify.com/s/files/1/0600/2527/4543/files/IG4279-1.jpg?v=1757303039,False,,0,True,,,Women's,"ADIDAS, FOOTWEAR, FOOTWEAR ADIDAS, FOOTWEAR ADIDAS WOMENS, FOOTWEAR WOMENS, LIFESTYLE, LIFESTYLE WOMENS, SALE, SEEK10, SEEK11.11, SEEK200, SEEK8.8, SEEK9.9, SP25, WD10, WOMENS"
SAMBA JANE WOMENS,1500000,1500000,False,Seek Indonesia,Adidas,0.0,https://seekindonesia.com/products/samba-jane-womens-2,https://cdn.shopify.com/s/files/1/0600/2527/4543/files/KJ3785-1.jpg?v=1764907918,False,,0,True,"UK 5.5, UK 6, UK 6.5, UK 7",Cloud White / Alumina / Core Black,Women's,"ADIDAS, ANGPAO10, FOOTWEAR, FOOTWEAR ADIDAS, FOOTWEAR ADIDAS WOMENS, FOOTWEAR WOMENS, HO25, LIFESTYLE, LIFESTYLE SHOES, LIFESTYLE WOMENS, SHOES, WOMENS"
